Date,Open,High,Low,Close,Volume
06-01-2000,16.799999,17,16.530001,16.83,850260
07-01-2000,16.215,17.1,16.215,16.834999,851440
10-01-2000,17.290001,17.950001,16.5,16.59,1004340
11-01-2000,16.65,16.790001,15.7,16.34,1457840
12-01-2000,16.375,16.795,16.23,16.545,859520
13-01-2000,16.99,16.99,16.5,16.51,482760
14-01-2000,16.799999,16.799999,16.4,16.545,581520
17-01-2000,17.4,17.870001,17.205,17.870001,1374040
18-01-2000,17.870001,17.870001,16.455,16.57,2556520
19-01-2000,17.200001,17.9,17.200001,17.9,3498180
20-01-2000,18.48,18.48,17.6,17.860001,2690980
21-01-2000,17.6,19.200001,17.209999,18.815001,4723290
24-01-2000,19.879999,20.32,19.299999,20.055,4493660
25-01-2000,19.9,21.66,19.9,21.66,2902910
26-01-2000,21.66,21.66,21.66,21.66,0
27-01-2000,22.4,23.395,22.125,22.969999,5635820
28-01-2000,23,23.299999,22.4,22.790001,4791650
31-01-2000,23.01,24.615,23.01,23.775,6373800
01-02-2000,23.6,24.4,23.5,24.094999,3907790
02-02-2000,26.02,26.025,23.9,24.4,3438320
03-02-2000,24.4,25,22.450001,22.594999,2846870
04-02-2000,22.995001,23.200001,21.75,22.895,2657040
07-02-2000,23.5,24.73,23,24.67,3890350
08-02-2000,25,25.379999,24.01,25.075001,3052080
09-02-2000,25.5,26.1,24.610001,25.25,3172330
10-02-2000,25,26.200001,24.825001,25.174999,2100860
11-02-2000,25.51,25.9,23.165001,23.209999,2648230
14-02-2000,23.5,23.5,22.014999,23.344999,2525440
15-02-2000,23.4,23.5,22.51,22.76,1940870
16-02-2000,24.49,24.584999,23,24.584999,706000
17-02-2000,25.77,25.77,24.815001,25.040001,2341600
18-02-2000,25.1,25.299999,23.9,24.26,1187770
21-02-2000,24.325001,24.799999,23.51,23.615,1104720
22-02-2000,23.605,24,21.73,21.754999,1748060
23-02-2000,22.6,23.49,21.75,21.945,1345080
24-02-2000,22.200001,23,21.549999,22.700001,878920
25-02-2000,22.995001,23.4,22.200001,22.700001,1265320
28-02-2000,22.985001,23,22,22.754999,857210
29-02-2000,22.799999,23.9,20.950001,21.68,2586880
01-03-2000,21.799999,23.415001,21.799999,23.415001,320940
02-03-2000,25,25.290001,25,25.290001,399360
03-03-2000,27.315001,27.315001,27.315001,27.315001,642940
06-03-2000,29.495001,29.5,25.5,26.605,2036410
07-03-2000,26.5,26.790001,25.5,25.82,1624120
08-03-2000,26.5,27.889999,26.200001,27.205,2004770
09-03-2000,27.014999,28,25.1,26.959999,1339790
10-03-2000,26.125,26.299999,24.805,25.415001,1468330
13-03-2000,25,27.450001,25,26.995001,2079820
14-03-2000,27.549999,28,25.6,26.540001,1782020
15-03-2000,27,27,24.700001,25.985001,827860
16-03-2000,26.200001,26.200001,25.504999,25.695,1324640
17-03-2000,25.695,25.695,25.695,25.695,0
20-03-2000,25.695,25.695,25.695,25.695,0
21-03-2000,26,26,24.67,25.58,1601110
22-03-2000,25.975,26.5,25.405001,26.115,761300
23-03-2000,25.825001,28.205,25.825001,28.040001,2538440
24-03-2000,27.51,27.775,26.450001,27.34,1171540
27-03-2000,27.5,27.799999,26.625,27.17,611310
28-03-2000,26.85,27.85,26.805,27.51,983640
29-03-2000,27.6,28.795,26.305,26.540001,984800
30-03-2000,25.65,26.6,25.1,26.254999,953680
31-03-2000,25.299999,26,25.200001,25.719999,743600
03-04-2000,25.995001,27.299999,24.014999,24.715,1685880
04-04-2000,24.299999,24.299999,22.74,22.74,717830
05-04-2000,23.200001,23.200001,20.924999,20.924999,872810
06-04-2000,20.700001,21.200001,19.254999,19.254999,835060
07-04-2000,19.5,20.795,18.504999,20.795,1609290
10-04-2000,22.450001,22.459999,21.995001,22.459999,1560560
11-04-2000,22.459999,23.49,20.9,22.620001,2959330
12-04-2000,23.799999,24.299999,22.299999,23.299999,1309010
13-04-2000,22.9,23.4,21.5,23.145,1913160
14-04-2000,23.145,23.145,23.145,23.145,0
17-04-2000,22.5,22.5,21.295,21.295,1283290
18-04-2000,21.405001,22.49,21.405001,22.209999,1368980
19-04-2000,22.9,23.200001,21.9,22.645,1409530
20-04-2000,22.299999,22.700001,21.530001,22.57,1793970
21-04-2000,22.57,22.57,22.57,22.57,0
24-04-2000,22.5,23.59,22.450001,23.209999,1986360
25-04-2000,22.809999,23.5,22,23.094999,2560160
26-04-2000,23.99,24.945,23.125,24.924999,1889780
27-04-2000,25.469999,25.5,23.309999,24.549999,2557680
28-04-2000,24.205,24.950001,24.004999,24.514999,1672490
01-05-2000,24.514999,24.514999,24.514999,24.514999,0
02-05-2000,24.700001,25.4,24,25.120001,2538730
03-05-2000,24.299999,24.99,23.25,24.620001,2228920
04-05-2000,25.49,25.700001,24.610001,25.08,1722450
05-05-2000,24.85,27,24.725,25.985001,2844190
08-05-2000,26.5,27.5,25.6,26.045,1382200
09-05-2000,25.6,26.495001,25.299999,26.139999,1142880
10-05-2000,26,26.5,25.200001,26.264999,1874770
11-05-2000,25.51,27.09,25.405001,26.58,2431380
12-05-2000,27.139999,27.139999,26.01,26.209999,1296980
15-05-2000,25.805,26.200001,25.1,25.709999,1653130
16-05-2000,25.700001,26.174999,25.5,25.625,1074070
17-05-2000,26,26.1,25.51,25.805,801430
18-05-2000,25.51,25.9,25.5,25.605,488710
19-05-2000,25.205,26.049999,25.205,25.575001,2169050
22-05-2000,25.6,25.790001,24.325001,24.885,1101500
23-05-2000,24.700001,24.700001,21.905001,23.375,2039100
24-05-2000,23,25.245001,22.01,24.209999,3198410
25-05-2000,24.25,24.75,23.01,23.360001,1576310
26-05-2000,23.110001,23.594999,22.51,23.025,1387350
29-05-2000,22.805,23.15,21.200001,22.465,1411510
30-05-2000,22.700001,22.950001,21.6,22.379999,1467450
31-05-2000,23.1,23.940001,22.5,23.030001,1526690
01-06-2000,22.700001,23.200001,22.6,22.924999,935730
02-06-2000,23.200001,24.700001,23.200001,24.450001,2218470
05-06-2000,24.610001,26.35,24.415001,24.705,1571110
06-06-2000,25.5,25.5,23.700001,24.459999,917930
07-06-2000,23.799999,24.040001,23.4,23.950001,800020
08-06-2000,24,24.49,23.700001,24.035,636620
09-06-2000,24.200001,25,24.200001,24.525,1082110
12-06-2000,24.65,24.9,24.309999,24.434999,641440
13-06-2000,24,25.5,23.9,25.360001,1140140
14-06-2000,25.9,25.9,24.9,25.030001,707300
15-06-2000,25.105,25.299999,24.754999,25.09,635020
16-06-2000,24.299999,25.295,24.299999,25.1,558130
19-06-2000,24.525,25.299999,24.514999,25.165001,741850
20-06-2000,25.49,25.870001,24.65,25.459999,1007540
21-06-2000,25.799999,26.299999,25.309999,25.620001,1839140
22-06-2000,25.809999,26.200001,25.6,25.709999,650740
23-06-2000,25.41,25.9,25.41,25.74,757810
26-06-2000,25.434999,25.745001,25.415001,25.514999,660410
27-06-2000,25.5,25.5,25.1,25.190001,743320
28-06-2000,26,26,24.809999,25.045,603830
29-06-2000,25.15,25.9,25.1,25.76,774040
30-06-2000,25.5,25.57,25.200001,25.235001,384500
03-07-2000,25.309999,27.799999,25.205,26.865,2004340
04-07-2000,26.799999,28.084999,26.6,27.885,3134290
05-07-2000,28.48,28.48,27.125,27.799999,2192710
06-07-2000,27.799999,27.99,27.27,27.594999,957330
07-07-2000,27.700001,28.5,27.504999,28.18,2121980
10-07-2000,28,28.299999,27.299999,27.57,1441670
11-07-2000,27.9,28,27.4,27.485001,918410
12-07-2000,27.5,27.870001,26.1,26.790001,1829150
13-07-2000,27.389999,27.615,26.215,26.584999,2059660
14-07-2000,26.504999,27,26.41,26.58,775550
17-07-2000,26.41,26.424999,25.4,25.434999,1125760
18-07-2000,25.424999,25.540001,25,25.025,1426120
19-07-2000,24.799999,25.295,24.799999,25.125,694040
20-07-2000,25,25.799999,24.51,24.834999,988110
21-07-2000,24.85,24.985001,24.01,24.16,1148120
24-07-2000,23.504999,23.799999,22.51,23.120001,2139820
25-07-2000,22.6,24.870001,22.26,24.264999,1023310
26-07-2000,24.9,25.200001,24.25,24.5,607630
27-07-2000,24.334999,24.58,24.1,24.450001,309420
28-07-2000,24.205,24.559999,23.4,23.51,1299440
31-07-2000,23.5,23.6,23,23.290001,246430
01-08-2000,23.59,23.59,22.620001,22.745001,731000
02-08-2000,22.85,22.99,21.799999,22.4,1170800
03-08-2000,22.48,25.790001,22.405001,25.245001,2954030
04-08-2000,24.5,25.4,24.225,24.975,2838820
07-08-2000,24.805,25,22.98,23.52,1494150
08-08-2000,23.209999,25.790001,23.1,25.305,1966720
09-08-2000,25.42,25.5,24.200001,24.405001,637310
10-08-2000,24.200001,24.9,24.125,24.365,439490
11-08-2000,23.504999,24.440001,23.504999,24.219999,506620
14-08-2000,24.209999,24.450001,24.125,24.35,551750
15-08-2000,24.35,24.35,24.35,24.35,0
16-08-2000,24.6,24.75,24.4,24.6,309750
17-08-2000,24.469999,25.5,24.469999,24.695,1182700
18-08-2000,24.4,24.4,23.700001,23.955,2462310
21-08-2000,23.51,23.799999,22.629999,23.52,2801190
22-08-2000,23.32,23.32,22.9,23.049999,1111770
23-08-2000,24.299999,24.299999,23.1,23.280001,1075740
24-08-2000,23.299999,23.379999,23.07,23.155001,390670
25-08-2000,23.01,24.67,23.01,23.879999,2312720
28-08-2000,24.200001,24.200001,23.495001,23.52,429230
29-08-2000,23.4,23.719999,23.1,23.475,936450
30-08-2000,23.700001,23.98,23.5,23.59,1113170
31-08-2000,23.440001,24,23.440001,23.934999,438410
01-09-2000,23.934999,23.934999,23.934999,23.934999,0
04-09-2000,24,24.299999,23.700001,23.844999,481800
05-09-2000,23.709999,24.5,23.700001,23.924999,869690
06-09-2000,24,24.9,24,24.254999,1091950
07-09-2000,23.885,24.5,23.885,24.01,697550
08-09-2000,23.809999,24.395,23.809999,23.855,664760
11-09-2000,23.9,24.200001,23.9,24.01,673660
12-09-2000,23.91,23.975,23.549999,23.625,930850
13-09-2000,23.799999,23.85,23.51,23.584999,473020
14-09-2000,23.305,23.625,23.200001,23.25,924750
15-09-2000,23.110001,23.110001,22.35,22.764999,1839060
18-09-2000,22.5,22.5,19.700001,20.934999,4094360
19-09-2000,20.65,23.5,19.805,23.035,3391350
20-09-2000,23.4,23.6,22.01,22.504999,1342330
21-09-2000,22.5,22.625,22.01,22.405001,788790
22-09-2000,22.004999,22.290001,21.5,21.690001,1413240
25-09-2000,22,22.424999,21.555,22.379999,682890
26-09-2000,22.200001,22.4,22.025,22.235001,910820
27-09-2000,22,22.74,21.799999,22.665001,616410
28-09-2000,22.74,22.795,22,22.389999,1231040
29-09-2000,22.799999,24.049999,22.27,23.424999,1612480
02-10-2000,23.424999,23.424999,23.424999,23.424999,0
03-10-2000,23.4,24,23,23.93,1015840
04-10-2000,24,24,23.205,23.610001,538430
05-10-2000,23.6,23.75,23.205,23.465,534020
03-01-2000,122.070313,122.071877,122.070313,122.071877,657536
04-01-2000,131.25,131.837891,126.976563,131.686722,7191808
05-01-2000,122.664063,126.953125,121.151955,121.151955,21069440
06-01-2000,119.192581,119.53125,111.459763,111.459763,10495616
07-01-2000,102.542969,102.542969,102.542969,102.542969,971392
10-01-2000,102.542969,110.746094,94.339844,107.478905,30230400
11-01-2000,103.125,107.8125,98.880859,98.880859,15658368
12-01-2000,93.359375,104.289063,91.921875,102.168358,25993472
13-01-2000,102.34375,102.726563,93.994919,94.457809,20038400
14-01-2000,95.695313,96.070313,87.523438,95.128128,16040064
17-01-2000,95.3125,100.664063,91.5625,92.741409,18092928
18-01-2000,91.716408,95.070313,88.476563,93.247269,20290944
19-01-2000,98.015625,100.707031,97.03125,100.70195,19994752
20-01-2000,103.125,105.867188,98.523438,99.586327,19778560
21-01-2000,100.78125,106.171875,97.679688,104.845314,20786048
24-01-2000,106.25,113.195313,106.25,108.428123,25256320
25-01-2000,107.8125,111.328125,104.687889,110.229691,20469632
26-01-2000,110.229691,110.229691,110.229691,110.229691,0
27-01-2000,118.28125,118.75,113.953125,115.480469,12953792
28-01-2000,116.03125,120.296875,116.03125,118.930466,17281536
31-01-2000,117.742188,117.875,111.359375,112.839066,7598272
01-02-2000,113.28125,116.40625,111.71875,115.896873,7055424
02-02-2000,118.59375,120.3125,114.835938,115.090622,9491520
03-02-2000,115.875,117.34375,115.15625,116.262497,6032064
04-02-2000,116.796875,124.21875,116.796875,123.389847,20176704
07-02-2000,123.421875,133.261719,123.421875,132.753128,16988608
08-02-2000,132.734375,142.96875,132.734375,139.034378,14902784
09-02-2000,146.859375,146.859375,134.375,136.089844,10595520
10-02-2000,137.484375,144.921875,137.484375,143.890625,18777728
11-02-2000,144.828125,155.402344,144.828125,155.402344,2100224
14-02-2000,167.835159,167.835159,167.835159,167.835159,1518912
15-02-2000,167.835159,167.835159,154.4086,155.652344,21339968
16-02-2000,157.03125,160.9375,150.546875,156.8414,12720448
17-02-2000,156.25,168.75,156.25,160.910934,12125248
18-02-2000,162.796875,164.0625,152.734375,154.134369,10628288
21-02-2000,153.90625,164.0625,151.578125,160.230469,17751552
22-02-2000,161.546875,161.546875,152.34375,153.595306,12066560
23-02-2000,164.0625,164.0625,141.307816,143.983597,11944576
24-02-2000,146.71875,150.765625,140.4375,145.265625,8260480
25-02-2000,146.875,148.2789,138.28125,140.425003,4929856
28-02-2000,139.0625,139.0625,129.191406,132.964066,7616384
29-02-2000,134.375,143.601563,130.46875,137.178131,16031808
01-03-2000,142.171875,148.152344,140.625,148.152344,6285824
02-03-2000,158.355469,160.004684,155.189056,160.004684,1607040
03-03-2000,172.805466,172.805466,172.805466,172.805466,1708224
06-03-2000,186.557037,186.630463,165,186.630463,1385792
07-03-2000,200,201.560944,200,201.560944,3477312
08-03-2000,210.15625,217.685944,187.265625,192.422653,22432768
09-03-2000,198.28125,203.125,181.71875,185.289841,8334720
10-03-2000,189.046875,199.140625,178.539841,182.262497,10259648
13-03-2000,182.8125,190.609375,167.682037,167.682037,7513664
14-03-2000,159.53125,159.53125,154.267975,154.267975,8390592
15-03-2000,142.671875,160.15625,141.926559,155.733597,16262144
16-03-2000,150,150,143.274994,143.274994,5725568
17-03-2000,143.274994,143.274994,143.274994,143.274994,0
20-03-2000,143.274994,143.274994,143.274994,143.274994,0
21-03-2000,143.671875,154.737503,132.984375,154.737503,14633344
22-03-2000,151.5625,167.117188,148.4375,167.098434,9580544
23-03-2000,171.25,180.3125,158.59375,160.375778,14267456
24-03-2000,157.96875,173.125,157.96875,169.116409,12254144
27-03-2000,164.0625,171.859375,160.9375,161.989838,8076992
28-03-2000,157.828125,159.375,150.955475,155.431244,8920448
29-03-2000,159.375,166.875,158.609375,159.201569,6539904
30-03-2000,154.6875,154.6875,146.5625,152.276566,7659648
31-03-2000,150,150,140.094528,140.1586,8080640
03-04-2000,132.828125,140.625,128.946091,128.946091,3743552
04-04-2000,118.63047,118.63047,118.63047,118.63047,400192
05-04-2000,110.171875,128.109375,110.171875,121.83828,28349120
06-04-2000,122.6875,131.585938,114.078125,131.489059,30059968
07-04-2000,142.008591,142.008591,142.008591,142.008591,222400
10-04-2000,153.369537,153.369537,153.369537,153.369537,210624
11-04-2000,153.369537,165.639069,141.421875,165.612503,27174080
12-04-2000,162.34375,165.203125,156.09375,157.453125,16391936
13-04-2000,154.688278,154.688278,144.857025,144.857025,3314176
14-04-2000,144.857025,144.857025,144.857025,144.857025,0
17-04-2000,133.268753,133.268753,133.268753,133.268753,220096
18-04-2000,133.268753,137.484375,122.607811,122.607811,14944384
19-04-2000,132.40625,132.40625,112.799217,113.282028,25509632
20-04-2000,106.28125,122.15625,104.234375,118.805466,36772800
21-04-2000,118.805466,118.805466,118.805466,118.805466,0
24-04-2000,121.84375,123.421875,112.65625,115.178123,17368064
25-04-2000,112.75,115.53125,105.964066,112.06797,16440064
26-04-2000,120.982033,120.982811,119.546875,120.982811,4330048
27-04-2000,124.84375,127.71875,120.982811,124.816406,24835072
28-04-2000,126.5625,132.625,124.296875,126.90078,19109696
01-05-2000,126.90078,126.90078,126.90078,126.90078,0
02-05-2000,128.90625,132.34375,121.015625,123.176559,25582336
03-05-2000,114.84375,123.421875,108.395309,119.514061,32888000
04-05-2000,120.15625,128.59375,117.96875,127.805466,25117504
05-05-2000,128.59375,136.4039,128.59375,133.84375,30822080
08-05-2000,134.359375,136.5625,117.8125,118.715622,48399424
09-05-2000,117.203125,124.140625,109.375,123.0625,31215296
10-05-2000,124.21875,124.609375,117.96875,121.264847,24130816
11-05-2000,118.90625,118.90625,107.972656,110.327347,31749632
12-05-2000,111.71875,114.0625,105.507813,107.201561,32175744
15-05-2000,106.328125,112.34375,94.548439,108.426559,43260224
16-05-2000,109.359375,110.9375,105,107.248436,30106112
17-05-2000,111.978127,115.828903,107.515625,108.794533,24953152
18-05-2000,108.59375,109.296875,105.5,107.778908,16329728
19-05-2000,107.814842,107.814842,98.464066,100.88047,35789312
22-05-2000,97.78125,97.78125,91.109375,92.796875,27676736
23-05-2000,90.625778,96.387497,86.328903,94.00547,34424576
24-05-2000,92.203125,95.859375,89.0625,94.489059,38866432
25-05-2000,95.15625,98.71875,93.75,94.361717,34255680
26-05-2000,95.078125,95.90625,91.015625,93.41172,36218496
29-05-2000,92.375,93.125,87.189064,92.052345,26640576
30-05-2000,92.578125,98.90625,91.441406,97.921097,26278080
31-05-2000,104.359375,109.671875,104.359375,109.355469,21896192
01-06-2000,108.59375,111.28672,106.765625,109.27578,26854272
02-06-2000,110,120.15625,110,117.721878,39140928
05-06-2000,118.75,131.848434,118.75,125.030472,27895872
06-06-2000,125.8125,127.65625,121.875,124.55703,28894656
07-06-2000,122.65625,126.03125,120.3125,122.446877,28549120
08-06-2000,122.578125,124.984375,121.875,123.545311,20242496
09-06-2000,124.217186,127.810158,122.96875,123.985153,32154624
